Name;MSCI WORLD U$ - PRICE INDEX;;;
1/19/73;133,602;;;
1/22/73;133,133;;;
1/23/73;133,315;;;
1/24/73;132,659;;;
1/25/73;132,378;;;
1/26/73;131,772;;;
1/29/73;131,407;;;
1/30/73;131,306;;;
1/31/73;130,825;;;
2/1/73;129,564;;;
2/2/73;128,571;;;
2/5/73;128,417;;;
2/6/73;128,464;;;
2/7/73;127,42;;;
2/8/73;127,349;;;
2/9/73;128,43;;;
2/12/73;129,998;;;
2/13/73;133,085;;;
2/14/73;131,919;;;
2/15/73;131,765;;;
2/16/73;133,41;;;
2/19/73;133,344;;;
2/20/73;134,042;;;
2/21/73;134,014;;;
2/22/73;133,422;;;
2/23/73;132,912;;;
2/26/73;131,947;;;
2/27/73;131,342;;;
2/28/73;131,515;;;
3/1/73;131,503;;;
3/2/73;131,995;;;
3/5/73;131,576;;;
3/6/73;133,105;;;
3/7/73;133,414;;;
3/8/73;133,572;;;
3/9/73;133,263;;;
3/12/73;133,406;;;
3/13/73;133,971;;;
3/14/73;134,639;;;
3/15/73;134,18;;;
3/16/73;133,824;;;
3/19/73;132,177;;;
3/20/73;131,909;;;
3/21/73;130,868;;;
3/22/73;129,847;;;
3/23/73;129,655;;;
3/26/73;130,074;;;
3/27/73;131,228;;;
3/28/73;131,284;;;
3/29/73;132,071;;;
3/30/73;131,476;;;
4/2/73;130,364;;;
4/3/73;129,476;;;
4/4/73;129,088;;;
4/5/73;128,628;;;
4/6/73;129,106;;;
4/9/73;129,461;;;
4/10/73;129,988;;;
4/11/73;130,368;;;
4/12/73;130,03;;;
4/13/73;129,416;;;
4/16/73;128,832;;;
4/17/73;128,073;;;
4/18/73;128,564;;;
4/19/73;128,972;;;
4/20/73;128,972;;;
4/23/73;128,003;;;
4/24/73;127,11;;;
4/25/73;125,534;;;
4/26/73;125,958;;;
4/27/73;124,975;;;
4/30/73;124,631;;;
5/1/73;124,747;;;
5/2/73;125,777;;;
5/3/73;126,555;;;
5/4/73;127,262;;;
5/7/73;126,805;;;
5/8/73;126,895;;;
5/9/73;126,288;;;
5/10/73;125,762;;;
5/11/73;124,944;;;
5/14/73;123,716;;;
5/15/73;124,349;;;
5/16/73;124,757;;;
5/17/73;124,348;;;
5/18/73;123,517;;;
5/21/73;122,516;;;
5/22/73;122,704;;;
5/23/73;123,022;;;
5/24/73;124,997;;;
5/25/73;125,945;;;
5/28/73;125,964;;;
5/29/73;125,745;;;
5/30/73;124,736;;;
5/31/73;124,046;;;
6/1/73;123,943;;;
6/4/73;123,407;;;
6/5/73;124,751;;;
6/6/73;124,591;;;
6/7/73;125,25;;;
6/8/73;126,365;;;
6/11/73;126,073;;;
6/12/73;126,666;;;
6/13/73;126,543;;;
6/14/73;125,573;;;
6/15/73;124,76;;;
6/18/73;123,718;;;
6/19/73;123,825;;;
6/20/73;124,119;;;
6/21/73;123,454;;;
6/22/73;124,082;;;
6/25/73;123,177;;;
6/26/73;123,501;;;
